null_type,replicate,max_t_M_t,sum_t_M_t,longest_run_A_t,lag1_autocorrelation_M_t,total_variation_M_t,mean_restructuring_R_t,max_restructuring_R_t,bottleneck_path_length
within_month_spatial_permutation,0,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.091056066803428e-05,0.00023853065118864997,0.008673038861623267
within_month_spatial_permutation,1,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0277498629197876e-05,0.00023853065118864997,0.008538829709389949
within_month_spatial_permutation,2,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.049654472452389e-05,0.00023853065118864997,0.008585267481599065
within_month_spatial_permutation,3,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.066526308319184e-05,0.00023853065118864997,0.00862103577363667
within_month_spatial_permutation,4,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0515316731160824e-05,0.00023853065118864997,0.008589247147006094
within_month_spatial_permutation,5,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0591056964220834e-05,0.00023853065118864997,0.008605304076414817
within_month_spatial_permutation,6,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.055809932988277e-05,0.00023853065118864997,0.008598317057935147
within_month_spatial_permutation,7,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.041794678698973e-05,0.00023853065118864997,0.008568604718841823
within_month_spatial_permutation,8,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.08301137781548e-05,0.00023853065118864997,0.008655984120968817
within_month_spatial_permutation,9,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0589495153089355e-05,0.00023853065118864997,0.008604972972454944
within_month_spatial_permutation,10,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044966979977698e-05,0.00023853065118864997,0.00857532999755272
within_month_spatial_permutation,11,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0758900906396764e-05,0.00023853065118864997,0.008640886992156115
within_month_spatial_permutation,12,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0365943648441455e-05,0.00023853065118864997,0.008557580053469589
within_month_spatial_permutation,13,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.050151773758279e-05,0.00023853065118864997,0.008586321760367551
within_month_spatial_permutation,14,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.058240146355417e-05,0.00023853065118864997,0.008603469110273484
within_month_spatial_permutation,15,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.050419281244067e-05,0.00023853065118864997,0.008586888876237422
within_month_spatial_permutation,16,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.069345251547419e-05,0.00023853065118864997,0.008627011933280528
within_month_spatial_permutation,17,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.068841255293177e-05,0.00023853065118864997,0.008625943461221535
within_month_spatial_permutation,18,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.034791329233348e-05,0.00023853065118864997,0.008553757617974698
within_month_spatial_permutation,19,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0726982035495304e-05,0.00023853065118864997,0.008634120191525005
within_month_spatial_permutation,20,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044189755199271e-05,0.00023853065118864997,0.008573682281022454
within_month_spatial_permutation,21,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.029994043393478e-05,0.00023853065118864997,0.008543587371994173
within_month_spatial_permutation,22,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.066717143075326e-05,0.00023853065118864997,0.008621440343319691
within_month_spatial_permutation,23,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.03408184492283e-05,0.00023853065118864997,0.0085522535112364
within_month_spatial_permutation,24,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0732510314945956e-05,0.00023853065118864997,0.008635292186768543
within_month_spatial_permutation,25,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.046597965382711e-05,0.00023853065118864997,0.008578787686611347
within_month_spatial_permutation,26,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044394524166056e-05,0.00023853065118864997,0.008574116391232038
within_month_spatial_permutation,27,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0509274199771654e-05,0.00023853065118864997,0.008587966130351591
within_month_spatial_permutation,28,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0570497147790606e-05,0.00023853065118864997,0.008600945395331608
within_month_spatial_permutation,29,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.075416562640977e-05,0.00023853065118864997,0.008639883112798872
within_month_spatial_permutation,30,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.051775432790667e-05,0.00023853065118864997,0.008589763917516214
within_month_spatial_permutation,31,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0436193248737546e-05,0.00023853065118864997,0.00857247296873236
within_month_spatial_permutation,32,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.03127577559887e-05,0.00023853065118864997,0.008546304644269606
within_month_spatial_permutation,33,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.042711591966654e-05,0.00023853065118864997,0.008570548574969307
within_month_spatial_permutation,34,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.039395721902126e-05,0.00023853065118864997,0.008563518930432508
within_month_spatial_permutation,35,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0519618772110606e-05,0.00023853065118864997,0.008590159179687449
within_month_spatial_permutation,36,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.041429185042174e-05,0.00023853065118864997,0.00856782987228941
within_month_spatial_permutation,37,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.068478580751204e-05,0.00023853065118864997,0.008625174591192553
within_month_spatial_permutation,38,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.051403817478082e-05,0.00023853065118864997,0.008588976093053534
within_month_spatial_permutation,39,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.061909867930553e-05,0.00023853065118864997,0.008611248920012773
within_month_spatial_permutation,40,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.036432346949916e-05,0.00023853065118864997,0.008557236575533821
within_month_spatial_permutation,41,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.041312436854496e-05,0.00023853065118864997,0.00856758236613153
within_month_spatial_permutation,42,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0748095103426934e-05,0.00023853065118864997,0.00863859616192651
within_month_spatial_permutation,43,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044339753476518e-05,0.00023853065118864997,0.008574000277370219
within_month_spatial_permutation,44,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.051079597817345e-05,0.00023853065118864997,0.008588288747372773
within_month_spatial_permutation,45,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.050601663717457e-05,0.00023853065118864997,0.00858727552708101
within_month_spatial_permutation,46,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.04402055028839e-05,0.00023853065118864997,0.008573323566611387
within_month_spatial_permutation,47,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.056348822063702e-05,0.00023853065118864997,0.008599459502775048
within_month_spatial_permutation,48,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.031321696191501e-05,0.00023853065118864997,0.008546401995925983
within_month_spatial_permutation,49,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.050058715416249e-05,0.00023853065118864997,0.008586124476682448
within_month_spatial_permutation,50,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0497447158589015e-05,0.00023853065118864997,0.008585458797620871
within_month_spatial_permutation,51,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.040301303934883e-05,0.00023853065118864997,0.008565438764341952
within_month_spatial_permutation,52,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.042581550093154e-05,0.00023853065118864997,0.008570272886197487
within_month_spatial_permutation,53,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0460163876842186e-05,0.00023853065118864997,0.008577554741890543
within_month_spatial_permutation,54,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0707766825721006e-05,0.00023853065118864997,0.008630046567052853
within_month_spatial_permutation,55,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.107732009728658e-05,0.00023853065118864997,0.008708391860624755
within_month_spatial_permutation,56,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.048385126686106e-05,0.00023853065118864997,0.008582576468574543
within_month_spatial_permutation,57,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0797560914864045e-05,0.00023853065118864997,0.008649082913951178
within_month_spatial_permutation,58,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0682127817245037e-05,0.00023853065118864997,0.008624611097255947
within_month_spatial_permutation,59,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.04819765999726e-05,0.00023853065118864997,0.00858217903919419
within_month_spatial_permutation,60,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0387055682351245e-05,0.00023853065118864997,0.008562055804658464
within_month_spatial_permutation,61,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044571527641128e-05,0.00023853065118864997,0.008574491638599191
within_month_spatial_permutation,62,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0318694704838736e-05,0.00023853065118864997,0.008547563277425813
within_month_spatial_permutation,63,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.067924582028173e-05,0.00023853065118864997,0.008624000113899726
within_month_spatial_permutation,64,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0558509427812895e-05,0.00023853065118864997,0.008598403998696333
within_month_spatial_permutation,65,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.060472788341242e-05,0.00023853065118864997,0.008608202311283432
within_month_spatial_permutation,66,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.06829959197061e-05,0.00023853065118864997,0.008624795134977693
within_month_spatial_permutation,67,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044948828034161e-05,0.00023853065118864997,0.008575291515432421
within_month_spatial_permutation,68,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.076861323790841e-05,0.00023853065118864997,0.008642946006436582
within_month_spatial_permutation,69,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0567714800320753e-05,0.00023853065118864997,0.008600355537668
within_month_spatial_permutation,70,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.065315221183065e-05,0.00023853065118864997,0.008618468268908098
within_month_spatial_permutation,71,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.034036719207886e-05,0.00023853065118864997,0.008552157844720718
within_month_spatial_permutation,72,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.034204970452308e-05,0.00023853065118864997,0.008552514537358892
within_month_spatial_permutation,73,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.053962919891801e-05,0.00023853065118864997,0.008594401390170618
within_month_spatial_permutation,74,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.0313962573857825e-05,0.00023853065118864997,0.00854656006565786
within_month_spatial_permutation,75,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.02500524573191e-05,0.00023853065118864997,0.008533011120951648
within_month_spatial_permutation,76,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.063029389428208e-05,0.00023853065118864997,0.008613622305587801
within_month_spatial_permutation,77,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.062657981076196e-05,0.00023853065118864997,0.008612834919881535
within_month_spatial_permutation,78,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.044233934198055e-05,0.00023853065118864997,0.008573775940499876
within_month_spatial_permutation,79,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.058272285926682e-05,0.00023853065118864997,0.008603537246164566
within_month_spatial_permutation,80,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.05058403142328e-05,0.00023853065118864997,0.008587238146617354
within_month_spatial_permutation,81,0.0004770613023773,0.025238841910017858,2,0.2754175847629021,0.008868809515081115,4.073188784235693e-05,0.00023853065118864997,0.00863516022257967
