preprocessing_mode,null_type,replicate,T_sep,T_sep_rel
raw_rate,countywise_circular_shift,0,3.126753562599112e-21,0.00493747504584506
raw_rate,countywise_circular_shift,1,3.927557724556305e-21,0.006161458165645003
raw_rate,countywise_circular_shift,2,3.334326655434523e-21,0.005212734664105184
raw_rate,countywise_circular_shift,3,3.2507788577162784e-21,0.005112701751986295
raw_rate,countywise_circular_shift,4,3.16149896576613e-21,0.0049636916880416975
raw_rate,countywise_circular_shift,5,3.00164196530801e-21,0.0047386754379966116
raw_rate,countywise_circular_shift,6,3.198969421706605e-21,0.005028424412306927
raw_rate,countywise_circular_shift,7,4.159703778455393e-21,0.0065085995140854395
raw_rate,countywise_circular_shift,8,3.6836775539870156e-21,0.00576950922245235
raw_rate,countywise_circular_shift,9,2.7837958846527457e-21,0.0043994734629165776
raw_rate,countywise_circular_shift,10,3.0119569809629876e-21,0.004779301668961116
raw_rate,countywise_circular_shift,11,2.390966236629667e-21,0.0037681080323113667
raw_rate,countywise_circular_shift,12,3.246763545882919e-21,0.0051043181862579995
raw_rate,countywise_circular_shift,13,3.6261355666156916e-21,0.005674868411439691
raw_rate,countywise_circular_shift,14,2.808242122084939e-21,0.004418771054826634
raw_rate,countywise_circular_shift,15,1.9440749311839247e-21,0.003079200082045343
raw_rate,countywise_circular_shift,16,2.6257931541089144e-21,0.0041457557058187525
raw_rate,countywise_circular_shift,17,2.8614698648992255e-21,0.004502489794918861
raw_rate,countywise_circular_shift,18,2.2056273642469455e-21,0.003488040643095984
raw_rate,countywise_circular_shift,19,3.374809123232184e-21,0.005332394631203808
raw_rate,countywise_circular_shift,20,2.690601114862235e-21,0.00424887739317802
raw_rate,countywise_circular_shift,21,2.854548484219021e-21,0.004518086434423512
raw_rate,countywise_circular_shift,22,3.061399519496019e-21,0.004798909666361743
raw_rate,countywise_circular_shift,23,3.5140063987734366e-21,0.0055011033635303346
raw_rate,countywise_circular_shift,24,2.7681526704267578e-21,0.004376694431503743
raw_rate,countywise_circular_shift,25,3.972008231218553e-21,0.0062206155482936775
raw_rate,countywise_circular_shift,26,2.550046233039719e-21,0.004017782083374164
raw_rate,countywise_circular_shift,27,4.5474550694862444e-21,0.007088274641140836
raw_rate,countywise_circular_shift,28,3.3665553567126468e-21,0.005261445123004944
raw_rate,countywise_circular_shift,29,3.120020337225571e-21,0.004896425641206238
raw_rate,countywise_circular_shift,30,4.142560245632767e-21,0.006481201772926983
raw_rate,countywise_circular_shift,31,3.244762499956045e-21,0.005102413692082727
raw_rate,countywise_circular_shift,32,3.1209229933296413e-21,0.0049307797648386964
raw_rate,countywise_circular_shift,33,4.092897428318589e-21,0.006437254076493962
raw_rate,countywise_circular_shift,34,3.0143409431402428e-21,0.004753976513192956
raw_rate,countywise_circular_shift,35,3.7083635520943204e-21,0.00580248827802103
