replicate,null_type,max_t_M_t,mean_t_M_t,sum_t_M_t,lag1_autocorrelation_M_t,mean_restructuring_R_t,bottleneck_path_length,n_nontrivial_vines,top_vine_mean_persistence,top_vine_max_persistence,top_vine_distance_from_diagonal,max_vine_mean_persistence,max_vine_max_persistence,max_vine_duration_positive,sum_top25_mean_persistence,sum_top25_max_persistence,sum_top25_distance_from_diagonal,sum_top25_duration_positive,duration_weighted_mean_persistence,vineyard_success
14,separable_gaussian_matrix_normal_tda,7.235034486008112e-09,3.3886485570127395e-09,7.217821426437135e-07,0.2892028038395547,9.166584923601237e-10,1.9433160038034622e-07,25,2.375414225381624e-09,6.480406940786873e-09,3.6849630856627244e-07,2.375414225381624e-09,6.480406940786873e-09,370.0,1.2217631965615198e-08,7.62566834461006e-08,1.8426591073729085e-06,4864.0,5.94991185395813e-10,True
15,separable_gaussian_matrix_normal_tda,8.967489768384873e-09,3.804330975986847e-09,8.103224978851984e-07,0.5302588615729159,1.1049629955413451e-09,2.3425215505476516e-07,25,2.9355177027865414e-09,6.9186777218787705e-09,4.555085176354661e-07,2.9355177027865414e-09,6.9186777218787705e-09,444.0,1.3631696957114302e-08,6.795537030585128e-08,1.925734085142862e-06,5134.0,6.684745359229044e-10,True
16,separable_gaussian_matrix_normal_tda,9.224252356101318e-09,3.738562496840546e-09,7.963138118270363e-07,0.4138754581315156,1.0496702560337766e-09,2.2253009427916064e-07,25,2.8893276112087353e-09,6.218471140675633e-09,4.459875768010317e-07,2.8893276112087353e-09,6.218471140675633e-09,420.0,1.2908469460096934e-08,7.601683828003255e-08,1.9050550571625165e-06,4463.0,6.577216298434296e-10,True
17,separable_gaussian_matrix_normal_tda,9.325140551803499e-09,3.4560801369499213e-09,7.361450691703333e-07,0.4356283792470842,9.632163190047144e-10,2.0420185962899948e-07,25,2.3698109801171692e-09,6.071524526089942e-09,3.6261422210888344e-07,2.3698109801171692e-09,6.714878452451978e-09,394.0,1.276598304249805e-08,7.426738097410942e-08,1.8133996852277963e-06,4591.0,6.26833693631405e-10,True
18,separable_gaussian_matrix_normal_tda,8.869695170759782e-09,3.6822262343768066e-09,7.843141879222598e-07,0.5225071620962102,1.0235668379665216e-09,2.1699616964890257e-07,25,3.0040714413723313e-09,8.643097901583189e-09,4.841560462598e-07,3.0040714413723313e-09,8.643097901583189e-09,461.0,1.3886600238116564e-08,7.700760358503789e-08,2.101110924396845e-06,4644.0,7.561934125522321e-10,True
19,separable_gaussian_matrix_normal_tda,8.726668394230115e-09,3.5876105627820816e-09,7.641610498725834e-07,0.4477152188037678,1.1149092480799448e-09,2.363607605929483e-07,25,2.61384314336802e-09,7.63614601501798e-09,4.0523335781870053e-07,2.61384314336802e-09,7.63614601501798e-09,473.0,1.2158768308564283e-08,7.598895179422314e-08,1.7905564975627288e-06,4785.0,5.970418372711298e-10,True
20,separable_gaussian_matrix_normal_tda,7.916379474095682e-09,3.2831977396515757e-09,6.993211185457857e-07,0.5009628455880791,9.452971722927966e-10,2.004030005260729e-07,25,2.3206048671900894e-09,5.303906993740791e-09,3.632550714808908e-07,2.3206048671900894e-09,5.303906993740791e-09,416.0,1.1795968563330124e-08,6.640182784098379e-08,1.7769244375293792e-06,4684.0,5.732077807625509e-10,True
21,separable_gaussian_matrix_normal_tda,6.86280771668616e-09,3.3082445500198816e-09,7.046560891542348e-07,0.31822582127686244,8.579984851124346e-10,1.8189567884383614e-07,25,2.5329309573404166e-09,5.859190679868861e-09,3.912814469398706e-07,2.5329309573404166e-09,5.859190679868861e-09,445.0,1.0922432198980249e-08,7.158229849079746e-08,1.6417004700970786e-06,3964.0,6.034274618632697e-10,True
22,separable_gaussian_matrix_normal_tda,1.0533655911149744e-08,3.7548767521476735e-09,7.997887482074545e-07,0.5358518452158918,1.0782309302227417e-09,2.2858495720722125e-07,25,2.636928449786046e-09,1.0533655911149744e-08,4.1518498581632093e-07,2.636928449786046e-09,1.0533655911149744e-08,361.0,1.4814802077431492e-08,9.583214195026954e-08,2.2593276096471635e-06,4028.0,7.072510697733692e-10,True
23,separable_gaussian_matrix_normal_tda,9.888852032637175e-09,3.6268301445750675e-09,7.725148207944894e-07,0.5237815524285082,1.0159355954048896e-09,2.153783462258366e-07,25,2.431639342033713e-09,7.559208800515703e-09,3.825494227489171e-07,2.431639342033713e-09,7.559208800515703e-09,387.0,1.3619683368206531e-08,7.993292297323796e-08,1.9480869156592518e-06,4895.0,6.306034265223531e-10,True
