summary_statistic,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
total_positive_top10,2114.0,2129.0,2119.114,1.1297257544556005,2116.0,2119.0,2120.0
max_persistence_top10,0.0004770613023773,0.0003838095136464,0.000435235393420294,8.52424697731793e-05,0.0003123806879316,0.0004146796599626,0.0006247613758633
total_persistence_top10,0.09270987695485687,0.04269362860713239,0.09423125418013176,0.001184994142673815,0.091884863225692,0.09427230791898418,0.0964548785004947
mean_monthly_max_persistence_top10,0.00011849221553998994,6.82712142514278e-05,0.00011933771471285789,2.488611117887434e-06,0.00011443831286726942,0.00011921930237885169,0.00012415762747970322
median_monthly_max_persistence_top10,0.0001070778455937,5.765328535623824e-05,0.0001062397663906062,2.0849857474729714e-06,0.0001027186194617,0.0001061383336281,0.0001111069960371
months_with_positive_top10,212.0,213.0,212.027,0.16216441439877485,212.0,212.0,213.0
