vine_id,month_index,birth,death,midlife,persistence
0,0.0,0.0,9.435742592942064e-05,4.717871296471032e-05,9.435742592942064e-05
0,0.5039550666978703,0.0,4.680552305172011e-05,2.3402761525860055e-05,4.680552305172011e-05
0,1.0,0.0,2.3495688541152697e-05,1.1747844270576349e-05,2.3495688541152697e-05
0,1.2417018547223262,0.0,1.781673704277799e-05,8.908368521388995e-06,1.781673704277799e-05
0,2.0,0.0,7.371369600471768e-05,3.685684800235884e-05,7.371369600471768e-05
0,2.757568176132099,0.0,1.787054576646771e-05,8.935272883233855e-06,1.787054576646771e-05
0,3.0,0.0,2.358935648235516e-05,1.179467824117758e-05,2.358935648235516e-05
0,5.0,0.0,0.00014742739200943535,7.371369600471768e-05,0.00014742739200943535
0,5.538853763002243,0.0,6.798558705554423e-05,3.399279352777211e-05,6.798558705554423e-05
0,6.0,0.0,6.798558705554423e-05,3.399279352777211e-05,6.798558705554423e-05
0,6.479787798408488,0.0,3.5366931918656034e-05,1.7683465959328017e-05,3.5366931918656034e-05
0,7.0,0.0,7.371369600471768e-05,3.685684800235884e-05,7.371369600471768e-05
0,7.419561868902961,0.0,4.278623994523363e-05,2.1393119972616816e-05,4.278623994523363e-05
0,8.0,0.0,0.00010197838058331633,5.0989190291658166e-05,0.00010197838058331633
0,9.0,0.0,6.798558705554423e-05,3.399279352777211e-05,6.798558705554423e-05
0,9.771006823562178,0.0,4.177691129369169e-05,2.0888455646845846e-05,4.177691129369169e-05
0,10.0,0.0,4.717871296471032e-05,2.358935648235516e-05,4.717871296471032e-05
0,11.0,0.0,4.717871296471032e-05,2.358935648235516e-05,4.717871296471032e-05
0,11.50173953925717,0.0,2.3507287259050284e-05,1.1753643629525142e-05,2.3507287259050284e-05
0,12.0,0.0,4.685157421289355e-05,2.3425787106446776e-05,4.685157421289355e-05
0,13.0,0.0,4.685157421289355e-05,2.3425787106446776e-05,4.685157421289355e-05
