month_index,month_label,year,month,landscape_summary,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
46,2010_11,2010,11,landscape_lambda1_peak_top10,3.328894806924101e-05,1.493140813777468e-05,3.904673061132864e-05,1.1219723274167362e-05,2.3780119408815358e-05,3.505328098710039e-05,6.82407533779e-05
47,2010_12,2010,12,landscape_lambda1_peak_top10,2.2768324706668084e-05,2.0862911531560493e-05,4.298214245431313e-05,1.2495885510442285e-05,2.5551455155684304e-05,3.74335554390956e-05,7.518118665985e-05
48,2011_1,2011,1,landscape_lambda1_peak_top10,5.283364446475e-05,2.8234279748241425e-05,5.1681562860583644e-05,1.6014466166298823e-05,3.180773817249236e-05,4.770423375074538e-05,8.796631750643369e-05
49,2011_2,2011,2,landscape_lambda1_peak_top10,3.45701774602443e-05,2.514387619248567e-05,4.91085115829898e-05,1.3778719548185217e-05,3.2310173960620906e-05,4.60935699469924e-05,7.883948281295e-05
50,2011_3,2011,3,landscape_lambda1_peak_top10,2.5202248040525216e-05,1.64872711545886e-05,3.886482887894808e-05,1.1108220195840144e-05,2.3554906487021248e-05,3.5778175313059034e-05,7.044485928635e-05
51,2011_4,2011,4,landscape_lambda1_peak_top10,7.044485928635e-05,2.683720716816717e-05,5.5441253843136486e-05,1.8768602045167826e-05,3.361894084031185e-05,5.09182253301e-05,0.00011229225932025
52,2011_5,2011,5,landscape_lambda1_peak_top10,3.98416956625674e-05,2.2554715831147045e-05,4.954558960832363e-05,1.5814338473461452e-05,3.01375264203762e-05,4.636713497472991e-05,8.77963652318025e-05
53,2011_6,2011,6,landscape_lambda1_peak_top10,7.044485928635e-05,1.5002258038080035e-05,4.107816709695801e-05,1.3220130947192631e-05,2.4290690864389083e-05,3.743075310675251e-05,7.48615062135e-05
54,2011_7,2011,7,landscape_lambda1_peak_top10,3.743075310675251e-05,2.112730426191865e-05,4.466420082849574e-05,1.2095270340118711e-05,2.8962548257212553e-05,4.3156774174986336e-05,7.044485928635e-05
55,2011_8,2011,8,landscape_lambda1_peak_top10,6.68136567114e-05,1.6956751419587802e-05,4.282425697905783e-05,1.2346575871250405e-05,2.5750299347229912e-05,3.762415972709943e-05,7.48615062135e-05
56,2011_9,2011,9,landscape_lambda1_peak_top10,6.3599745601e-05,2.958396512331155e-05,5.225326514542447e-05,1.5762647803123504e-05,3.296522169111587e-05,4.846996477849226e-05,8.790513941464126e-05
57,2011_10,2011,10,landscape_lambda1_peak_top10,9.544413336725e-05,2.636363475289424e-05,4.942268199338597e-05,1.4730703582987234e-05,3.181471112242301e-05,4.730368968779565e-05,8.79012692943e-05
58,2011_11,2011,11,landscape_lambda1_peak_top10,9.693992955695e-05,2.962142896726963e-05,5.030497497264147e-05,1.5447674472997475e-05,3.209757663296421e-05,4.846996477849226e-05,8.823399655885e-05
59,2011_12,2011,12,landscape_lambda1_peak_top10,3.458292986581823e-05,2.0348655258417546e-05,4.593481383968328e-05,1.314193093582823e-05,3.045987852596933e-05,4.3156774174986336e-05,7.737143446635e-05
60,2012_1,2012,1,landscape_lambda1_peak_top10,3.793051130329237e-05,2.24466637472877e-05,4.330544859758994e-05,1.340236949226367e-05,2.602915180737993e-05,3.795738650741434e-05,7.586102260655e-05
61,2012_2,2012,2,landscape_lambda1_peak_top10,3.583801218492414e-05,1.7362538950108386e-05,4.5334965316979044e-05,1.2385933510688691e-05,3.0008291030948718e-05,4.388370817334065e-05,7.586102260655e-05
62,2012_3,2012,3,landscape_lambda1_peak_top10,3.5578325683993314e-05,1.5801832617051667e-05,4.221756786644838e-05,1.1275388272219848e-05,2.602915180737993e-05,3.793051130329237e-05,7.586102260655e-05
63,2012_4,2012,4,landscape_lambda1_peak_top10,7.07588890854e-05,1.4607014819952671e-05,3.938112367874563e-05,1.2315519451522349e-05,2.3530315097288112e-05,3.543460543566847e-05,7.07588890854e-05
