grid_index,x,observed_lambda1,fitted_mean_lambda1,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
151,0.0004821703926303771,0.0,0.0,8.080582801632291e-08,2.0972576494817096e-07,0.0,0.0,6.749669988906611e-07
152,0.0004853635740385253,0.0,0.0,7.708581530120579e-08,2.0474428344904204e-07,0.0,0.0,6.54449773825233e-07
153,0.0004885567554466734,0.0,0.0,7.4152889857071e-08,1.996361520040774e-07,0.0,0.0,6.394583118151479e-07
154,0.0004917499368548217,0.0,0.0,7.125953768912448e-08,1.945814964250223e-07,0.0,0.0,6.244668498050623e-07
155,0.0004949431182629699,0.0,0.0,6.836618552117796e-08,1.8959826333176963e-07,0.0,0.0,6.094753877949767e-07
156,0.000498136299671118,0.0,0.0,6.547283335323154e-08,1.8469223402532078e-07,0.0,0.0,5.944839257848916e-07
157,0.0005013294810792663,0.0,0.0,6.257948118528501e-08,1.7986972592274397e-07,0.0,0.0,5.794924637748059e-07
158,0.0005045226624874144,0.0,0.0,5.968612901733858e-08,1.7513763856235857e-07,0.0,0.0,5.645010017647208e-07
159,0.0005077158438955626,0.0,0.0,5.679277684939205e-08,1.7050350061595525e-07,0.0,0.0,5.495095397546353e-07
160,0.0005109090253037109,0.0,0.0,5.389942468144552e-08,1.659755167089674e-07,0.0,0.0,5.345180777445496e-07
161,0.000514102206711859,0.0,0.0,5.10060725134991e-08,1.6156261236666574e-07,0.0,0.0,5.195266157344645e-07
162,0.0005172953881200072,0.0,0.0,4.811272034555258e-08,1.5727447480787002e-07,0.0,0.0,5.045351537243789e-07
163,0.0005204885695281554,0.0,0.0,4.5681310667950505e-08,1.5307254834370925e-07,0.0,0.0,4.895436917142938e-07
164,0.0005236817509363036,0.0,0.0,4.3649242994732915e-08,1.4894290568291278e-07,0.0,0.0,4.7455222970420817e-07
165,0.0005268749323444518,0.0,0.0,4.162539562337135e-08,1.4488971876944307e-07,0.0,0.0,4.5956076769412253e-07
166,0.0005300681137526,0.0,0.0,3.9601548252009866e-08,1.409191720328613e-07,0.0,0.0,4.4456930568403743e-07
167,0.0005332612951607482,0.0,0.0,3.75777008806483e-08,1.3703844890134036e-07,0.0,0.0,4.2957784367395185e-07
168,0.0005364544765688963,0.0,0.0,3.5553853509286816e-08,1.3325539725528302e-07,0.0,0.0,4.1458638166386674e-07
169,0.0005396476579770446,0.0,0.0,3.3530006137925265e-08,1.295785719459843e-07,0.0,0.0,3.995949196537811e-07
170,0.0005428408393851928,0.0,0.0,3.15061587665637e-08,1.2601727146299272e-07,0.0,0.0,3.8460345764369547e-07
171,0.0005460340207933409,0.0,0.0,2.9482311395202206e-08,1.2258156507368481e-07,0.0,0.0,3.6961199563361037e-07
172,0.0005492272022014892,0.0,0.0,2.7503439112540916e-08,1.193020563523725e-07,0.0,0.0,3.546205336235248e-07
173,0.0005524203836096373,0.0,0.0,2.5603851052090066e-08,1.1615426650637213e-07,0.0,0.0,3.396290716134397e-07
174,0.0005556135650177855,0.0,0.0,2.4354221968271154e-08,1.131335489980931e-07,0.0,0.0,3.2463760960335404e-07
175,0.0005588067464259338,0.0,0.0,2.333330340538531e-08,1.1014827770117545e-07,0.0,0.0,3.096461475932684e-07
176,0.0005619999278340819,0.0,0.0,2.234386691271969e-08,1.0720275165806247e-07,0.0,0.0,2.946546855831833e-07
177,0.0005651931092422301,0.0,0.0,2.1354430420054043e-08,1.043070122838691e-07,0.0,0.0,2.7966322357309767e-07
178,0.0005683862906503783,0.0,0.0,2.036499392738842e-08,1.0146532228360992e-07,0.0,0.0,2.6467176156301257e-07
179,0.0005715794720585265,0.0,0.0,1.937555743472277e-08,9.868235103932561e-08,0.0,0.0,2.49680299552927e-07
180,0.0005747726534666747,0.0,0.0,1.8386120942057122e-08,9.596320728895481e-08,0.0,0.0,2.3468883754284135e-07
181,0.0005779658348748229,0.0,0.0,1.7396684449391506e-08,9.331347097670151e-08,0.0,0.0,2.1969737553275624e-07
182,0.0005811590162829711,0.0,0.0,1.6407247956725853e-08,9.073922274440368e-08,0.0,0.0,2.0470591352267064e-07
183,0.0005843521976911192,0.0,0.0,1.5417811464060237e-08,8.824706900968329e-08,0.0,0.0,1.8971445151258553e-07
184,0.0005875453790992675,0.0,0.0,1.443651148405617e-08,8.584277225872267e-08,0.0,0.0,1.747229895024999e-07
185,0.0005907385605074157,0.0,0.0,1.37805602907782e-08,8.345201218101842e-08,0.0,0.0,1.597315274924143e-07
186,0.0005939317419155638,0.0,0.0,1.3165910348364708e-08,8.109529086610635e-08,0.0,0.0,1.4474006548232918e-07
187,0.0005971249233237121,0.0,0.0,1.2551260405951199e-08,7.878036029861422e-08,0.0,0.0,1.2974860347224357e-07
188,0.0006003181047318602,0.0,0.0,1.1936610463537711e-08,7.651101385698725e-08,0.0,0.0,1.1475714146215846e-07
189,0.0006035112861400084,0.0,0.0,1.1321960521124199e-08,7.42914289712617e-08,0.0,0.0,9.976567945207283e-08
190,0.0006067044675481567,0.0,0.0,1.0707310578710688e-08,7.212619981867618e-08,0.0,0.0,8.477421744198723e-08
191,0.0006098976489563048,0.0,0.0,1.0092660636297199e-08,7.002036908285084e-08,0.0,0.0,6.978275543190212e-08
192,0.000613090830364453,0.0,0.0,9.478010693883688e-09,6.797945702370115e-08,0.0,0.0,5.47912934218165e-08
193,0.0006162840117726012,0.0,0.0,8.8633607514702e-09,6.600948547367478e-08,0.0,0.0,3.9799831411731395e-08
194,0.0006194771931807494,0.0,0.0,8.248710809056688e-09,6.41169936310555e-08,0.0,0.0,2.4808369401645773e-08
195,0.0006226703745888976,0.0,0.0,7.679897813466956e-09,6.230227780946936e-08,0.0,0.0,9.816907391560159e-09
196,0.0006258635559970458,0.0,0.0,7.309926940683537e-09,6.051759494314262e-08,0.0,0.0,0.0
197,0.000629056737405194,0.0,0.0,6.980114776461654e-09,5.875928849509202e-08,0.0,0.0,0.0
198,0.0006322499188133421,0.0,0.0,6.661933711428243e-09,5.702910769224505e-08,0.0,0.0,0.0
199,0.0006354431002214904,0.0,0.0,6.347113009216445e-09,5.532810218563989e-08,0.0,0.0,0.0
200,0.0006386362816296386,0.0,0.0,6.044285476612809e-09,5.365668614951836e-08,0.0,0.0,0.0
201,0.0006418294630377867,0.0,0.0,5.7444562364111065e-09,5.20160622812596e-08,0.0,0.0,0.0
202,0.000645022644445935,0.0,0.0,5.444626996209395e-09,5.04095257159813e-08,0.0,0.0,0.0
203,0.0006482158258540831,0.0,0.0,5.144797756007692e-09,4.884044032904402e-08,0.0,0.0,0.0
204,0.0006514090072622313,0.0,0.0,4.84496851580598e-09,4.731253238965412e-08,0.0,0.0,0.0
205,0.0006546021886703796,0.0,0.0,4.5451392756042675e-09,4.5829920485110726e-08,0.0,0.0,0.0
206,0.0006577953700785277,0.0,0.0,4.285379014887511e-09,4.43907032495034e-08,0.0,0.0,0.0
207,0.0006609885514866759,0.0,0.0,4.097617756632342e-09,4.2969373307688916e-08,0.0,0.0,0.0
208,0.0006641817328948241,0.0,0.0,3.91772021251132e-09,4.156354783792477e-08,0.0,0.0,0.0
209,0.0006673749143029723,0.0,0.0,3.737822668390294e-09,4.0174922998084864e-08,0.0,0.0,0.0
210,0.0006705680957111205,0.0,0.0,3.557925124269266e-09,3.8805345373225146e-08,0.0,0.0,0.0
211,0.0006737612771192687,0.0,0.0,3.3780275801482454e-09,3.7456904353873284e-08,0.0,0.0,0.0
212,0.0006769544585274169,0.0,0.0,3.1981300360272167e-09,3.6131966464914214e-08,0.0,0.0,0.0
213,0.000680147639935565,0.0,0.0,3.018232491906196e-09,3.4833213748875954e-08,0.0,0.0,0.0
214,0.0006833408213437133,0.0,0.0,2.8383349477851685e-09,3.3563686062986e-08,0.0,0.0,0.0
215,0.0006865340027518614,0.0,0.0,2.6584374036641472e-09,3.232682673571807e-08,0.0,0.0,0.0
216,0.0006897271841600096,0.0,0.0,2.47853985954312e-09,3.1126530389270846e-08,0.0,0.0,0.0
217,0.0006929203655681579,0.0,0.0,2.340604732411714e-09,2.9958056239625476e-08,0.0,0.0,0.0
218,0.000696113546976306,0.0,0.0,2.2356644983411185e-09,2.8797434072770628e-08,0.0,0.0,0.0
219,0.0006993067283844542,0.0,0.0,2.130724264270519e-09,2.7644652328644312e-08,0.0,0.0,0.0
220,0.0007024999097926023,0.0,0.0,2.0257840301999233e-09,2.6500734201992355e-08,0.0,0.0,0.0
221,0.0007056930912007506,0.0,0.0,1.920843796129324e-09,2.5366878834313575e-08,0.0,0.0,0.0
222,0.0007088862726088988,0.0,0.0,1.8159035620587246e-09,2.4244498097957006e-08,0.0,0.0,0.0
223,0.000712079454017047,0.0,0.0,1.710963327988129e-09,2.3135262088983143e-08,0.0,0.0,0.0
224,0.0007152726354251952,0.0,0.0,1.6060230939175296e-09,2.2041155448548622e-08,0.0,0.0,0.0
225,0.0007184658168333433,0.0,0.0,1.501082859846934e-09,2.0964547044122926e-08,0.0,0.0,0.0
226,0.0007216589982414916,0.0,0.0,1.3961426257763346e-09,1.990827590979246e-08,0.0,0.0,0.0
227,0.0007248521796496398,0.0,0.0,1.2912023917057353e-09,1.887575652292162e-08,0.0,0.0,0.0
228,0.0007280453610577879,0.0,0.0,1.208383811373993e-09,1.786276801997792e-08,0.0,0.0,0.0
229,0.0007312385424659362,0.0,0.0,1.1334265013235649e-09,1.6855618950619405e-08,0.0,0.0,0.0
230,0.0007344317238740843,0.0,0.0,1.0584691912731392e-09,1.5855085608640682e-08,0.0,0.0,0.0
231,0.0007376249052822325,0.0,0.0,9.835118812227112e-10,1.4862504152466425e-08,0.0,0.0,0.0
232,0.0007408180866903808,0.0,0.0,9.085545711722833e-10,1.3879580695495035e-08,0.0,0.0,0.0
233,0.0007440112680985289,0.0,0.0,8.335972611218576e-10,1.290852166049018e-08,0.0,0.0,0.0
234,0.0007472044495066771,0.0,0.0,7.586399510714294e-10,1.1952219175192751e-08,0.0,0.0,0.0
235,0.0007503976309148252,0.0,0.0,6.836826410210041e-10,1.101451749012451e-08,0.0,0.0,0.0
236,0.0007535908123229735,0.0,0.0,6.087253309705759e-10,1.0100598420122841e-08,0.0,0.0,0.0
237,0.0007567839937311217,0.0,0.0,5.337680209201479e-10,9.21753882144426e-09,0.0,0.0,0.0
238,0.0007599771751392698,0.0,0.0,4.588107108697223e-10,8.375105729540953e-09,0.0,0.0,0.0
239,0.0007631703565474181,0.0,0.0,4.1131174150021487e-10,7.560489220139439e-09,0.0,0.0,0.0
240,0.0007663635379555662,0.0,0.0,3.6633735546995957e-10,6.747313531084996e-09,0.0,0.0,0.0
241,0.0007695567193637144,0.0,0.0,3.2136296943970266e-10,5.936096907737516e-09,0.0,0.0,0.0
242,0.0007727499007718627,0.0,0.0,2.7638858340944585e-10,5.12776921104262e-09,0.0,0.0,0.0
243,0.0007759430821800108,0.0,0.0,2.3141419737919057e-10,4.323950929156672e-09,0.0,0.0,0.0
244,0.000779136263588159,0.0,0.0,1.8643981134893371e-10,3.5277259199328422e-09,0.0,0.0,0.0
245,0.0007823294449963072,0.0,0.0,1.4146542531867838e-10,2.745708044740326e-09,0.0,0.0,0.0
246,0.0007855226264044554,0.0,0.0,9.649103928842152e-11,1.994677703317188e-09,0.0,0.0,0.0
247,0.0007887158078126036,0.0,0.0,5.85597962384633e-11,1.3091592748215528e-09,0.0,0.0,0.0
248,0.0007919089892207518,0.0,0.0,2.8576872218293084e-11,6.394525515352955e-10,0.0,0.0,0.0
249,0.0007951021706289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
