month_index,month_label,year,month,summary_statistic,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
51,2011_4,2011,4,n_positive_top10,10.0,10.0,9.999,0.03162277660168406,10.0,10.0,10.0
52,2011_5,2011,5,n_positive_top10,10.0,10.0,9.998,0.044698970882985536,10.0,10.0,10.0
53,2011_6,2011,6,n_positive_top10,10.0,10.0,9.996,0.07739502561528024,10.0,10.0,10.0
54,2011_7,2011,7,n_positive_top10,10.0,9.0,9.998,0.04469897088298528,10.0,10.0,10.0
55,2011_8,2011,8,n_positive_top10,10.0,10.0,9.997,0.05471740119919786,10.0,10.0,10.0
56,2011_9,2011,9,n_positive_top10,10.0,10.0,9.997,0.05471740119919791,10.0,10.0,10.0
57,2011_10,2011,10,n_positive_top10,10.0,10.0,9.991,0.1045463051950181,10.0,10.0,10.0
58,2011_11,2011,11,n_positive_top10,10.0,10.0,9.999,0.031622776601684006,10.0,10.0,10.0
59,2011_12,2011,12,n_positive_top10,10.0,10.0,9.991,0.10454630519501822,10.0,10.0,10.0
60,2012_1,2012,1,n_positive_top10,10.0,10.0,9.999,0.03162277660168419,10.0,10.0,10.0
61,2012_2,2012,2,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
62,2012_3,2012,3,n_positive_top10,10.0,10.0,9.998,0.04469897088298494,10.0,10.0,10.0
63,2012_4,2012,4,n_positive_top10,10.0,10.0,9.998,0.06324555320336829,10.0,10.0,10.0
64,2012_5,2012,5,n_positive_top10,10.0,10.0,9.996,0.06315051850925696,10.0,10.0,10.0
65,2012_6,2012,6,n_positive_top10,10.0,10.0,9.998,0.04469897088298526,10.0,10.0,10.0
66,2012_7,2012,7,n_positive_top10,10.0,10.0,9.993,0.09465706502929398,10.0,10.0,10.0
67,2012_8,2012,8,n_positive_top10,10.0,10.0,9.998,0.06324555320336778,10.0,10.0,10.0
68,2012_9,2012,9,n_positive_top10,10.0,10.0,9.996,0.06315051850925693,10.0,10.0,10.0
69,2012_10,2012,10,n_positive_top10,10.0,10.0,9.997,0.0547174011991976,10.0,10.0,10.0
70,2012_11,2012,11,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
71,2012_12,2012,12,n_positive_top10,10.0,10.0,9.993,0.08341437500789627,10.0,10.0,10.0
72,2013_1,2013,1,n_positive_top10,10.0,10.0,9.996,0.06315051850925696,10.0,10.0,10.0
73,2013_2,2013,2,n_positive_top10,10.0,10.0,9.995,0.08355825501996769,10.0,10.0,10.0
74,2013_3,2013,3,n_positive_top10,10.0,10.0,9.999,0.031622776601684145,10.0,10.0,10.0
75,2013_4,2013,4,n_positive_top10,10.0,10.0,9.997,0.07068235986436895,10.0,10.0,10.0
76,2013_5,2013,5,n_positive_top10,10.0,10.0,9.996,0.0631505185092569,10.0,10.0,10.0
77,2013_6,2013,6,n_positive_top10,10.0,10.0,9.997,0.05471740119919784,10.0,10.0,10.0
78,2013_7,2013,7,n_positive_top10,10.0,10.0,9.995,0.07056897321046923,10.0,10.0,10.0
79,2013_8,2013,8,n_positive_top10,10.0,10.0,9.995,0.07056897321046932,10.0,10.0,10.0
80,2013_9,2013,9,n_positive_top10,10.0,10.0,9.996,0.06315051850925694,10.0,10.0,10.0
81,2013_10,2013,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
82,2013_11,2013,11,n_positive_top10,10.0,10.0,9.998,0.04469897088298533,10.0,10.0,10.0
83,2013_12,2013,12,n_positive_top10,10.0,10.0,9.999,0.03162277660168386,10.0,10.0,10.0
84,2014_1,2014,1,n_positive_top10,10.0,10.0,9.997,0.07068235986436854,10.0,10.0,10.0
85,2014_2,2014,2,n_positive_top10,10.0,10.0,9.996,0.0773950256152796,10.0,10.0,10.0
86,2014_3,2014,3,n_positive_top10,10.0,10.0,9.996,0.06315051850925693,10.0,10.0,10.0
87,2014_4,2014,4,n_positive_top10,10.0,10.0,9.999,0.03162277660168396,10.0,10.0,10.0
88,2014_5,2014,5,n_positive_top10,10.0,10.0,9.993,0.10469938854626713,10.0,10.0,10.0
89,2014_6,2014,6,n_positive_top10,10.0,10.0,9.999,0.031622776601683965,10.0,10.0,10.0
90,2014_7,2014,7,n_positive_top10,10.0,10.0,9.999,0.031622776601684104,10.0,10.0,10.0
91,2014_8,2014,8,n_positive_top10,10.0,10.0,9.994,0.07726558075864019,10.0,10.0,10.0
92,2014_9,2014,9,n_positive_top10,10.0,10.0,9.999,0.03162277660168395,10.0,10.0,10.0
93,2014_10,2014,10,n_positive_top10,10.0,10.0,9.998,0.04469897088298452,10.0,10.0,10.0
94,2014_11,2014,11,n_positive_top10,10.0,10.0,9.999,0.031622776601684104,10.0,10.0,10.0
95,2014_12,2014,12,n_positive_top10,10.0,10.0,9.993,0.09465706502929398,10.0,10.0,10.0
96,2015_1,2015,1,n_positive_top10,10.0,10.0,9.996,0.06315051850925697,10.0,10.0,10.0
97,2015_2,2015,2,n_positive_top10,10.0,10.0,9.999,0.03162277660168394,10.0,10.0,10.0
98,2015_3,2015,3,n_positive_top10,10.0,10.0,9.996,0.07739502561528026,10.0,10.0,10.0
99,2015_4,2015,4,n_positive_top10,10.0,10.0,9.998,0.044698970882985564,10.0,10.0,10.0
100,2015_5,2015,5,n_positive_top10,10.0,10.0,9.995,0.08355825501996758,10.0,10.0,10.0
101,2015_6,2015,6,n_positive_top10,10.0,10.0,9.994,0.0772655807586398,10.0,10.0,10.0
102,2015_7,2015,7,n_positive_top10,10.0,10.0,9.999,0.03162277660168416,10.0,10.0,10.0
103,2015_8,2015,8,n_positive_top10,10.0,10.0,9.996,0.06315051850925694,10.0,10.0,10.0
104,2015_9,2015,9,n_positive_top10,10.0,10.0,9.998,0.06324555320336832,10.0,10.0,10.0
105,2015_10,2015,10,n_positive_top10,10.0,10.0,9.995,0.08355825501996761,10.0,10.0,10.0
106,2015_11,2015,11,n_positive_top10,10.0,10.0,9.999,0.03162277660168422,10.0,10.0,10.0
107,2015_12,2015,12,n_positive_top10,10.0,10.0,9.996,0.06315051850925694,10.0,10.0,10.0
108,2016_1,2016,1,n_positive_top10,10.0,10.0,9.998,0.06324555320336797,10.0,10.0,10.0
109,2016_2,2016,2,n_positive_top10,10.0,10.0,9.998,0.0446989708829847,10.0,10.0,10.0
110,2016_3,2016,3,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
111,2016_4,2016,4,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
112,2016_5,2016,5,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
113,2016_6,2016,6,n_positive_top10,10.0,10.0,9.999,0.03162277660168425,10.0,10.0,10.0
114,2016_7,2016,7,n_positive_top10,10.0,10.0,9.999,0.03162277660168395,10.0,10.0,10.0
115,2016_8,2016,8,n_positive_top10,10.0,10.0,9.999,0.03162277660168387,10.0,10.0,10.0
116,2016_9,2016,9,n_positive_top10,10.0,10.0,9.997,0.07068235986436802,10.0,10.0,10.0
117,2016_10,2016,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
118,2016_11,2016,11,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
119,2016_12,2016,12,n_positive_top10,10.0,10.0,9.999,0.031622776601684235,10.0,10.0,10.0
120,2017_1,2017,1,n_positive_top10,10.0,10.0,9.997,0.05471740119919772,10.0,10.0,10.0
121,2017_2,2017,2,n_positive_top10,10.0,10.0,9.998,0.04469897088298549,10.0,10.0,10.0
122,2017_3,2017,3,n_positive_top10,10.0,10.0,9.999,0.031622776601683944,10.0,10.0,10.0
123,2017_4,2017,4,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
124,2017_5,2017,5,n_positive_top10,10.0,10.0,9.996,0.09996996545960261,10.0,10.0,10.0
125,2017_6,2017,6,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
126,2017_7,2017,7,n_positive_top10,10.0,10.0,9.997,0.07068235986436869,10.0,10.0,10.0
127,2017_8,2017,8,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
128,2017_9,2017,9,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
129,2017_10,2017,10,n_positive_top10,10.0,10.0,9.998,0.044698970882985085,10.0,10.0,10.0
130,2017_11,2017,11,n_positive_top10,10.0,10.0,9.999,0.03162277660168401,10.0,10.0,10.0
131,2017_12,2017,12,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
132,2018_1,2018,1,n_positive_top10,10.0,10.0,9.999,0.031622776601684104,10.0,10.0,10.0
133,2018_2,2018,2,n_positive_top10,10.0,10.0,9.998,0.044698970882985606,10.0,10.0,10.0
134,2018_3,2018,3,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
135,2018_4,2018,4,n_positive_top10,10.0,10.0,9.995,0.0835582550199677,10.0,10.0,10.0
136,2018_5,2018,5,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
137,2018_6,2018,6,n_positive_top10,10.0,10.0,9.999,0.03162277660168413,10.0,10.0,10.0
138,2018_7,2018,7,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
139,2018_8,2018,8,n_positive_top10,10.0,10.0,9.999,0.03162277660168422,10.0,10.0,10.0
140,2018_9,2018,9,n_positive_top10,10.0,10.0,9.998,0.04469897088298552,10.0,10.0,10.0
141,2018_10,2018,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
142,2018_11,2018,11,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
143,2018_12,2018,12,n_positive_top10,10.0,10.0,9.997,0.05471740119919784,10.0,10.0,10.0
144,2019_1,2019,1,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
145,2019_2,2019,2,n_positive_top10,10.0,10.0,9.997,0.07068235986436805,10.0,10.0,10.0
146,2019_3,2019,3,n_positive_top10,10.0,10.0,9.999,0.031622776601684235,10.0,10.0,10.0
147,2019_4,2019,4,n_positive_top10,10.0,10.0,9.998,0.06324555320336828,10.0,10.0,10.0
148,2019_5,2019,5,n_positive_top10,10.0,10.0,9.995,0.11396485417876842,10.0,10.0,10.0
149,2019_6,2019,6,n_positive_top10,10.0,10.0,9.999,0.031622776601684145,10.0,10.0,10.0
150,2019_7,2019,7,n_positive_top10,10.0,10.0,9.999,0.03162277660168404,10.0,10.0,10.0
151,2019_8,2019,8,n_positive_top10,10.0,10.0,9.997,0.054717401199197394,10.0,10.0,10.0
152,2019_9,2019,9,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
153,2019_10,2019,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
154,2019_11,2019,11,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
155,2019_12,2019,12,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
156,2020_1,2020,1,n_positive_top10,10.0,10.0,9.997,0.05471740119919782,10.0,10.0,10.0
157,2020_2,2020,2,n_positive_top10,10.0,10.0,9.999,0.03162277660168414,10.0,10.0,10.0
158,2020_3,2020,3,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
159,2020_4,2020,4,n_positive_top10,10.0,10.0,9.998,0.04469897088298499,10.0,10.0,10.0
160,2020_5,2020,5,n_positive_top10,10.0,10.0,9.999,0.0316227766016842,10.0,10.0,10.0
161,2020_6,2020,6,n_positive_top10,10.0,10.0,9.999,0.03162277660168386,10.0,10.0,10.0
162,2020_7,2020,7,n_positive_top10,10.0,10.0,9.997,0.05471740119919755,10.0,10.0,10.0
163,2020_8,2020,8,n_positive_top10,10.0,10.0,9.994,0.08928590018570567,10.0,10.0,10.0
164,2020_9,2020,9,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
165,2020_10,2020,10,n_positive_top10,10.0,10.0,9.999,0.031622776601684256,10.0,10.0,10.0
166,2020_11,2020,11,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
167,2020_12,2020,12,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
168,2021_1,2021,1,n_positive_top10,10.0,10.0,9.999,0.031622776601684,10.0,10.0,10.0
169,2021_2,2021,2,n_positive_top10,10.0,10.0,9.998,0.044698970882985536,10.0,10.0,10.0
170,2021_3,2021,3,n_positive_top10,10.0,10.0,9.999,0.031622776601683986,10.0,10.0,10.0
171,2021_4,2021,4,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
172,2021_5,2021,5,n_positive_top10,10.0,10.0,9.998,0.04469897088298478,10.0,10.0,10.0
173,2021_6,2021,6,n_positive_top10,10.0,10.0,9.997,0.05471740119919753,10.0,10.0,10.0
174,2021_7,2021,7,n_positive_top10,10.0,10.0,9.998,0.044698970882985585,10.0,10.0,10.0
175,2021_8,2021,8,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
176,2021_9,2021,9,n_positive_top10,10.0,10.0,9.999,0.031622776601683986,10.0,10.0,10.0
177,2021_10,2021,10,n_positive_top10,10.0,10.0,9.997,0.054717401199197775,10.0,10.0,10.0
178,2021_11,2021,11,n_positive_top10,10.0,10.0,9.998,0.06324555320336818,10.0,10.0,10.0
179,2021_12,2021,12,n_positive_top10,10.0,10.0,9.999,0.03162277660168425,10.0,10.0,10.0
180,2022_1,2022,1,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
181,2022_2,2022,2,n_positive_top10,10.0,10.0,9.998,0.04469897088298548,10.0,10.0,10.0
182,2022_3,2022,3,n_positive_top10,10.0,10.0,9.997,0.05471740119919796,10.0,10.0,10.0
183,2022_4,2022,4,n_positive_top10,10.0,10.0,9.999,0.0316227766016842,10.0,10.0,10.0
184,2022_5,2022,5,n_positive_top10,10.0,10.0,9.998,0.0446989708829848,10.0,10.0,10.0
185,2022_6,2022,6,n_positive_top10,10.0,10.0,9.998,0.06324555320336807,10.0,10.0,10.0
186,2022_7,2022,7,n_positive_top10,10.0,10.0,9.999,0.03162277660168407,10.0,10.0,10.0
187,2022_8,2022,8,n_positive_top10,10.0,10.0,9.999,0.03162277660168398,10.0,10.0,10.0
188,2022_9,2022,9,n_positive_top10,10.0,10.0,9.997,0.054717401199197394,10.0,10.0,10.0
189,2022_10,2022,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
190,2022_11,2022,11,n_positive_top10,10.0,10.0,9.997,0.07068235986436996,10.0,10.0,10.0
191,2022_12,2022,12,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
192,2023_1,2023,1,n_positive_top10,10.0,10.0,9.999,0.03162277660168394,10.0,10.0,10.0
193,2023_2,2023,2,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
194,2023_3,2023,3,n_positive_top10,10.0,10.0,9.998,0.044698970882985356,10.0,10.0,10.0
195,2023_4,2023,4,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
196,2023_5,2023,5,n_positive_top10,10.0,10.0,9.997,0.07068235986436873,10.0,10.0,10.0
197,2023_6,2023,6,n_positive_top10,10.0,10.0,9.999,0.03162277660168424,10.0,10.0,10.0
198,2023_7,2023,7,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
199,2023_8,2023,8,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
200,2023_9,2023,9,n_positive_top10,10.0,10.0,9.998,0.044698970882985085,10.0,10.0,10.0
201,2023_10,2023,10,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
202,2023_11,2023,11,n_positive_top10,10.0,10.0,9.998,0.044698970882985634,10.0,10.0,10.0
203,2023_12,2023,12,n_positive_top10,10.0,10.0,9.999,0.03162277660168397,10.0,10.0,10.0
204,2024_1,2024,1,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
205,2024_2,2024,2,n_positive_top10,10.0,10.0,9.991,0.09448771310560872,10.0,10.0,10.0
206,2024_3,2024,3,n_positive_top10,10.0,10.0,9.999,0.03162277660168407,10.0,10.0,10.0
207,2024_4,2024,4,n_positive_top10,10.0,10.0,9.996,0.06315051850925693,10.0,10.0,10.0
208,2024_5,2024,5,n_positive_top10,10.0,10.0,9.997,0.05471740119919789,10.0,10.0,10.0
209,2024_6,2024,6,n_positive_top10,10.0,10.0,10.0,0.0,10.0,10.0,10.0
210,2024_7,2024,7,n_positive_top10,8.0,10.0,9.979,0.19646271299561555,10.0,10.0,10.0
211,2024_8,2024,8,n_positive_top10,6.0,10.0,9.741,0.6358642334046758,8.0,10.0,10.0
212,2024_9,2024,9,n_positive_top10,0.0,10.0,0.027,0.16216441439877344,0.0,0.0,1.0
