target,train_end,n_residuals,mean_residual,sd_residual,skewness,excess_kurtosis,jarque_bera_statistic,jarque_bera_pvalue,shapiro_wilk_statistic,shapiro_wilk_pvalue
statewide_rate,2021-12-01,168,-4.0350320807721983e-07,2.8969818670196096e-06,1.5918155149261706,9.165556945717992,619.123432553492,3.6228872015974105e-135,0.8998833043351975,2.9207906695801063e-09
statewide_rate,2022-12-01,180,-4.5764472517881824e-07,2.9148656348933774e-06,1.4390723991132977,8.307555892582705,546.5613097395718,2.0688051047083586e-119,0.9147310574688343,1.0058151319658434e-08
max_h1_persistence,2021-12-01,168,-1.8429573222668727e-06,5.7523454885535765e-05,0.15856252947585303,1.0196269597793206,7.062641898123532,0.029266231121835105,0.9827715543313412,0.03529077686608583
max_h1_persistence,2022-12-01,180,5.09296764995296e-06,6.344527145420995e-05,0.8552108060377104,3.8909265037836445,127.0753077165991,2.54652260841428e-28,0.9458370243390517,2.41055571887535e-06
