month_index,month_label,year,month,filtration_type,homology_dimension,dimension,pair_id_within_month_dimension,birth,death,persistence,finite,birth_internal,death_internal,persistence_internal,c_hat,band,significant,persistence_over_band
0,2007_1,2007,1,superlevel,1,1,0,9.791442279447762e-06,0.0,9.791442279447762e-06,True,-9.791442279447762e-06,-0.0,9.791442279447762e-06,0.00011364194800725543,0.00022728389601451085,False,0.04308022896097589
0,2007_1,2007,1,superlevel,1,1,1,1.2574266763069378e-05,0.0,1.2574266763069378e-05,True,-1.2574266763069378e-05,-0.0,1.2574266763069378e-05,0.00011364194800725543,0.00022728389601451085,False,0.05532405499713266
0,2007_1,2007,1,superlevel,1,1,2,6.283459421419056e-06,0.0,6.283459421419056e-06,True,-6.283459421419056e-06,-0.0,6.283459421419056e-06,0.00011364194800725543,0.00022728389601451085,False,0.027645862868427296
0,2007_1,2007,1,superlevel,1,1,3,1.2916725868326896e-05,0.0,1.2916725868326896e-05,True,-1.2916725868326896e-05,-0.0,1.2916725868326896e-05,0.00011364194800725543,0.00022728389601451085,False,0.05683080101505402
0,2007_1,2007,1,superlevel,1,1,4,1.3994332295420355e-05,0.0,1.3994332295420355e-05,True,-1.3994332295420355e-05,-0.0,1.3994332295420355e-05,0.00011364194800725543,0.00022728389601451085,False,0.06157203629828174
0,2007_1,2007,1,superlevel,1,1,5,5.925048141016145e-06,0.0,5.925048141016145e-06,True,-5.925048141016145e-06,-0.0,5.925048141016145e-06,0.00011364194800725543,0.00022728389601451085,False,0.02606893072898514
0,2007_1,2007,1,superlevel,1,1,6,9.435742592942064e-05,0.0,9.435742592942064e-05,True,-9.435742592942064e-05,-0.0,9.435742592942064e-05,0.00011364194800725543,0.00022728389601451085,False,0.415152272483909
1,2007_2,2007,2,superlevel,1,1,0,1.2566918842838112e-05,0.0,1.2566918842838112e-05,True,-1.2566918842838112e-05,-0.0,1.2566918842838112e-05,7.65488381587276e-05,0.0001530976763174552,False,0.08208432123280576
1,2007_2,2007,2,superlevel,1,1,1,2.5833451736653792e-05,0.0,2.5833451736653792e-05,True,-2.5833451736653792e-05,-0.0,2.5833451736653792e-05,7.65488381587276e-05,0.0001530976763174552,False,0.16873836597680894
1,2007_2,2007,2,superlevel,1,1,2,7.9601567620205e-06,0.0,7.9601567620205e-06,True,-7.9601567620205e-06,-0.0,7.9601567620205e-06,7.65488381587276e-05,0.0001530976763174552,False,0.051993975045805024
1,2007_2,2007,2,superlevel,1,1,3,5.6208195154853575e-05,0.0,5.6208195154853575e-05,True,-5.6208195154853575e-05,-0.0,5.6208195154853575e-05,7.65488381587276e-05,0.0001530976763174552,False,0.3671394400415539
2,2007_3,2007,3,superlevel,1,1,0,1.1074442401825068e-05,7.483022891814196e-06,3.5914195100108715e-06,True,-1.1074442401825068e-05,-7.483022891814196e-06,3.5914195100108715e-06,0.00011320317600722733,0.00022640635201445465,False,0.01586271532603282
2,2007_3,2007,3,superlevel,1,1,1,3.875017760498069e-05,0.0,3.875017760498069e-05,True,-3.875017760498069e-05,-0.0,3.875017760498069e-05,0.00011320317600722733,0.00022640635201445465,False,0.1711532263127791
2,2007_3,2007,3,superlevel,1,1,2,1.2566918842838112e-05,0.0,1.2566918842838112e-05,True,-1.2566918842838112e-05,-0.0,1.2566918842838112e-05,0.00011320317600722733,0.00022640635201445465,False,0.055506034751338564
2,2007_3,2007,3,superlevel,1,1,3,6.997166147710178e-06,0.0,6.997166147710178e-06,True,-6.997166147710178e-06,-0.0,6.997166147710178e-06,0.00011320317600722733,0.00022640635201445465,False,0.03090534380088175
2,2007_3,2007,3,superlevel,1,1,4,7.371369600471768e-05,0.0,7.371369600471768e-05,True,-7.371369600471768e-05,-0.0,7.371369600471768e-05,0.00011320317600722733,0.00022640635201445465,False,0.325581395348888
3,2007_4,2007,4,superlevel,1,1,0,1.1074442401825068e-05,0.0,1.1074442401825068e-05,True,-1.1074442401825068e-05,-0.0,1.1074442401825068e-05,9.884462053445073e-05,0.00019768924106890146,False,0.05601944922215188
3,2007_4,2007,4,superlevel,1,1,1,1.102383905194984e-05,0.0,1.102383905194984e-05,True,-1.102383905194984e-05,-0.0,1.102383905194984e-05,9.884462053445073e-05,0.00019768924106890146,False,0.055763474999166264
3,2007_4,2007,4,superlevel,1,1,2,1.8861400144604068e-05,0.0,1.8861400144604068e-05,True,-1.8861400144604068e-05,-0.0,1.8861400144604068e-05,9.884462053445073e-05,0.00019768924106890146,False,0.0954093406531427
