date,month_label,month_index,year,month,source,h1_point_count,max_h1_persistence,top_ranked_total_persistence
2012-02-01,2012_2,61,2012,2,observed,15,7.167602436984828e-05,0.0003028401786741031
2012-03-01,2012_3,62,2012,3,observed,16,7.115665136798663e-05,0.00038759764151495335
2012-04-01,2012_4,63,2012,4,observed,16,0.0001415177781708827,0.000437753524798391
2012-05-01,2012_5,64,2012,5,observed,10,6.767120815663629e-05,0.000280892524318382
2012-06-01,2012_6,65,2012,6,observed,13,9.413315134257407e-05,0.0003611523945278366
2012-07-01,2012_7,66,2012,7,observed,17,7.272727272727273e-05,0.0003266828029518568
2012-08-01,2012_8,67,2012,8,observed,15,7.586102260658473e-05,0.0004025772529703899
2012-09-01,2012_9,68,2012,9,observed,16,0.00015172204521316947,0.0003816284769159364
2012-10-01,2012_10,69,2012,10,observed,15,6.931688212664194e-05,0.00035159121186575313
2012-11-01,2012_11,70,2012,11,observed,17,0.00017861608259207658,0.0005868609261416615
2012-12-01,2012_12,71,2012,12,observed,11,7.075888908544135e-05,0.00034155215676329566
2013-01-01,2013_1,72,2013,1,observed,12,0.0001359249694168819,0.00042113721432307017
2013-02-01,2013_2,73,2013,2,observed,16,7.16110089991168e-05,0.0003584726299815159
2013-03-01,2013_3,74,2013,3,observed,14,0.00012970168612191958,0.0005640967902249202
2013-04-01,2013_4,75,2013,4,observed,17,0.00010102795948778825,0.0004962686217739511
2013-05-01,2013_5,76,2013,5,observed,16,9.525321479599936e-05,0.0004487475706325225
2013-06-01,2013_6,77,2013,6,observed,14,9.052641108043272e-05,0.00040447173299303156
2013-07-01,2013_7,78,2013,7,observed,14,9.525321479599936e-05,0.0003451397340163504
2013-08-01,2013_8,79,2013,8,observed,17,9.128529698149951e-05,0.0004268395683676429
2013-09-01,2013_9,80,2013,9,observed,11,6.942837306179126e-05,0.00027948081774165925
2013-10-01,2013_10,81,2013,10,observed,15,7.069635913750442e-05,0.0003250716819360828
2013-11-01,2013_11,82,2013,11,observed,14,0.00014259232853272493,0.0004312769743305707
2013-12-01,2013_12,83,2013,12,observed,16,7.550018875047188e-05,0.00037774936737797454
2014-01-01,2014_1,84,2014,1,observed,14,7.614986293024673e-05,0.0003730632359827511
2014-02-01,2014_2,85,2014,2,observed,16,7.167174341515857e-05,0.00039031994447265305
2014-03-01,2014_3,86,2014,3,observed,14,0.00010413412475268145,0.00038273513207070554
2014-04-01,2014_4,87,2014,4,observed,13,6.958135219761104e-05,0.0002809617382824703
2014-05-01,2014_5,88,2014,5,observed,16,0.00015229972586049346,0.0004570069274993915
2014-06-01,2014_6,89,2014,6,observed,12,0.00013084723585214263,0.0004012976802609996
2014-07-01,2014_7,90,2014,7,observed,13,0.00014023278642546626,0.00038222210967456976
2014-08-01,2014_8,91,2014,8,observed,13,0.00010707784559374665,0.0003822508505630292
2014-09-01,2014_9,92,2014,9,observed,13,0.00010413412475268145,0.000379718629788039
2014-10-01,2014_10,93,2014,10,observed,15,9.057853806239568e-05,0.00038446787053003845
2014-11-01,2014_11,94,2014,11,observed,14,0.00014023278642546626,0.0005406848127464329
2014-12-01,2014_12,95,2014,12,observed,15,0.00011355893708834885,0.000401513186344672
2015-01-01,2015_1,96,2015,1,observed,15,0.0001281435207432324,0.00046961605698245127
2015-02-01,2015_2,97,2015,2,observed,17,0.0001002004008016032,0.0004095253599644727
2015-03-01,2015_3,98,2015,3,observed,13,7.240343192267313e-05,0.000345842716961706
2015-04-01,2015_4,99,2015,4,observed,16,0.00010370485597988126,0.0005311086067490096
